"","estrato1","sex","age","oficio","relab","impa","maxEducLevel","college","regSalud","cotPension","totalHoursWorked","formal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","ln_y","age2","Mujer"
"7807","2","1",30,"84","1",2669000,"5","1","1","1",48,"1","0","0","5",2525000,14.7417516206916,900,0
"7808","2","0",29,"3","1",1813211,"6","0","1","1",48,"1","0","0","5",1813211,14.410609864653,841,1
"7809","4","0",45,"16","4",4e+06,"6","0","1","1",40,"1","1","1","1",4e+06,15.2018049190842,2025,1
"7810","4","1",46,"21","2",9483333.33333333,"6","0","2","1",60,"1","0","0","5",9483334,16.0650465001673,2116,0
"7811","2","1",67,"95","7",5e+05,"3","0","1","2",59,"0","0","1","2",5e+05,13.1223633774043,4489,0
"7812","2","1",40,"98","4",480000,"3","0","1","2",84,"0","1","1","1",480000,13.0815413828841,1600,0
"7813","3","0",47,"79","4",1100000,"5","1","3","1",56,"0","1","0","4",1100000,13.9108207377686,2209,1
"7814","3","1",23,"98","4",1e+06,"5","1","3","2",84,"0","1","1","1",1e+06,13.8155105579643,529,0
"7815","3","0",19,"39","1",4e+05,"5","1","3","2",15,"0","0","0","4",4e+05,12.8992198260901,361,1
"7816","5","1",61,"6","2",9250000,"6","0","1","1",48,"1","0","0","5",9250000,16.0401341094886,3721,0
"7817","5","0",49,"41","4",2400000,"6","0","1","1",48,"1","1","0","5",2400000,14.6909792953182,2401,1
"7818","5","0",28,"41","4",2200000,"6","0","1","1",48,"1","1","0","5",2200000,14.6039679183285,784,1
"7819","2","1",38,"58","2",2010000,"5","1","1","1",72,"1","0","0","5",2010000,14.5136452800353,1444,0
"7820","2","0",23,"53","1",930000,"5","1","1","1",48,"1","0","0","5",930000,13.7429398651294,529,1
"7821","2","0",41,"79","4",0,"5","1","3","2",60,"0","1","1","1",750000,13.5278284855125,1681,1
"7822","2","1",52,"83","1",1333544.33333333,"3","0","1","1",45,"1","0","0","5",1333544.375,14.1033508991409,2704,0
"7823","2","1",69,"98","4",8e+05,"3","0","1","2",72,"0","1","1","1",8e+05,13.5923670066501,4761,0
"7824","2","0",47,"32","2",1647044.33333333,"6","0","1","1",48,"1","0","0","5",1609044.375,14.291151004836,2209,1
"7825","2","1",24,"33","1",550000,"6","0","1","2",20,"0","0","1","2",550000,13.2176735572087,576,0
"7826","2","0",21,"33","1",954877.666666667,"5","1","1","1",40,"1","0","0","5",954877.6875,13.7693385353442,441,1
"7827","5","1",51,"41","5",4e+06,"6","0","1","1",60,"1","0","0","4",4e+06,15.2018049190842,2601,0
"7828","5","0",46,"21","5",4e+06,"6","0","1","1",48,"1","0","0","4",4e+06,15.2018049190842,2116,1
"7829","2","0",37,"58","1",1221544.33333333,"5","1","1","1",48,"1","0","0","5",1221544.375,14.015626497305,1369,1
"7830","3","1",50,"21","1",1500000,"6","0","1","2",40,"0","0","0","3",1500000,14.2209756660724,2500,0
"7831","2","1",31,"41","4",8e+05,"3","0","1","2",40,"0","1","1","1",8e+05,13.5923670066501,961,0
"7832","2","1",38,"79","1",1238211,"5","1","1","1",48,"1","0","0","5",1238211,14.0291781538915,1444,0
"7833","2","1",26,"3","1",1609877.66666667,"6","0","1","1",40,"1","0","0","5",1609877.625,14.291668724755,676,0
"7834","2","0",25,"21","1",1700000,"6","0","1","1",49,"1","0","0","5",1700000,14.3461388090264,625,1
"7835","5","1",62,"95","4",3e+06,"6","0","1","1",48,"1","1","1","2",3e+06,14.9141228466324,3844,0
"7836","5","0",63,"21","1",4800000,"6","0","1","3",48,"1","0","0","5",4800000,15.3841264758781,3969,1
"7837","5","0",28,"2","1",2275000,"6","0","1","1",54,"1","0","1","2",2275000,14.6374906103672,784,1
"7838","3","1",50,"44","2",4275000,"6","0","1","1",48,"1","0","0","5",4275000,15.268294660353,2500,0
"7839","3","0",35,"21","1",2e+06,"6","0","1","2",70,"0","0","1","2",2e+06,14.5086577385242,1225,1
"7840","3","0",69,"79","4",750000,"4","0","1","2",60,"0","1","1","2",750000,13.5278284855125,4761,1
"7841","3","1",43,"98","3",1419877.66666667,"6","0","1","1",48,"1","0","1","1",1419877.625,14.1660812462863,1849,0
"7842","3","0",40,"53","1",1100000,"5","1","1","2",72,"0","0","0","3",1100000,13.9108207377686,1600,1
"7843","3","1",21,"21","1",1845000,"6","0","1","1",48,"1","0","0","5",1845000,14.4279898354568,441,0
"7844","3","1",20,"59","1",1600000,"6","0","1","1",66,"1","0","0","4",1600000,14.28551418721,400,0
"7845","2","0",39,"57","4",9e+05,"5","1","1","2",42,"0","1","1","1",9e+05,13.7101500423064,1521,1
"7846","2","1",46,"58","1",1322544.33333333,"4","0","1","1",60,"1","0","0","4",1322544.375,14.0950679960269,2116,0
"7847","2","1",19,"95","1",720000,"5","1","1","2",48,"0","0","1","2",720000,13.4870064909922,361,0
"7848","3","0",40,"95","1",0,"6","0","1","1",60,"1","0","0","5",1988081.4173405,14.5026806197567,1600,1
"7849","5","1",61,"33","1",8500000,"3","0","1","1",72,"1","0","0","5",8500000,15.9555767214605,3721,0
"7850","5","0",36,"6","4",3824000,"6","0","1","1",37,"1","1","0","5",3824000,15.1568075531534,1296,1
"7851","5","0",22,"54","3",1166666.66666667,"5","1","3","2",60,"0","0","1","1",866666.6875,13.6724097383621,484,1
"7852","5","1",57,"6","5",3e+06,"6","0","1","1",48,"1","0","1","2",3e+06,14.9141228466324,3249,0
"7853","5","0",54,"6","1",2166666.66666667,"6","0","1","1",48,"1","0","1","2",2166666.75,14.5887004846593,2916,1
"7854","5","1",26,"8","1",4250000,"6","0","1","1",48,"1","0","0","5",4250000,15.2624295409006,676,0
"7855","3","1",37,"81","4",1e+06,"4","0","1","2",40,"0","1","1","1",1e+06,13.8155105579643,1369,0
"7856","3","0",36,"45","1",1008211,"4","0","1","1",56,"1","0","0","4",1008211,13.8236880311048,1296,1
"7857","5","0",51,"12","4",1e+07,"6","0","1","1",48,"1","1","1","1",1e+07,16.1180956509583,2601,1
"7858","3","1",67,"95","1",6e+05,"4","0","1","2",48,"0","0","1","2",6e+05,13.3046849341983,4489,0
"7859","3","0",52,"54","3",250000,"3","0","1","2",32,"0","0","1","1",250000,12.4292161968444,2704,1
"7860","3","0",29,"45","1",960000,"5","1","1","1",48,"1","0","0","5",960000,13.774688563444,841,1
"7861","3","1",43,"98","1",1555833.33333333,"5","1","1","1",58,"1","0","0","5",1555833.375,14.2575218925108,1849,0
"7862","5","1",47,"21","5",0,"6","0","1","1",72,"1","0","0","5",5e+06,15.4249484703984,2209,0
"7863","5","0",43,"21","1",23333333.3333333,"6","0","1","1",50,"1","0","0","5",23333334,16.965393539917,1849,1
"7864","3","1",63,"41","4",1e+06,"6","0","1","2",40,"0","1","1","1",1e+06,13.8155105579643,3969,0
"7865","3","0",34,"11","1",3575000,"6","0","1","1",45,"1","0","0","5",3575000,15.0894757341102,1156,1
"7866","3","1",35,"9","4",1600000,"6","0","1","1",50,"1","1","0","5",1600000,14.28551418721,1225,0
"7867","1","1",65,"41","4",0,"2","0","3","2",25,"0","1","1","2",629000,13.3518865356826,4225,0
"7868","1","0",65,"45","6",4e+05,"2","0","3","2",25,"0","0","1","2",4e+05,12.8992198260901,4225,1
"7869","1","1",50,"95","4",9e+05,"3","0","3","2",55,"0","1","1","1",9e+05,13.7101500423064,2500,0
